Rank,Team,2021 fumbles-not-lost-per-game
1,Arizona,1.5
2,Las Vegas,1.1
3,Dallas,1.1
4,Miami,1.0
4,Buffalo,1.0
4,Philadelphia,1.0
7,Washington,0.9
8,Chicago,0.9
8,Minnesota,0.9
10,Tennessee,0.8
11,Atlanta,0.8
11,NY Giants,0.8
11,Baltimore,0.8
14,Kansas City,0.8
15,Green Bay,0.7
16,Cleveland,0.7
16,Carolina,0.7
18,San Francisco,0.7
19,Houston,0.6
19,Seattle,0.6
21,Pittsburgh,0.6
22,Indianapolis,0.6
23,New England,0.6
24,New Orleans,0.5
24,Jacksonville,0.5
26,Cincinnati,0.5
27,Detroit,0.5
28,NY Jets,0.4
29,LA Rams,0.3
30,Tampa Bay,0.3
31,Denver,0.2
31,LA Chargers,0.2
