Rank,Team,2021 penalties-per-play
1,Green Bay,0.03
2,LA Rams,0.03
3,Cincinnati,0.04
4,Indianapolis,0.04
5,Washington,0.04
6,Denver,0.04
7,NY Giants,0.04
8,Tampa Bay,0.04
9,Atlanta,0.04
10,Seattle,0.05
11,Kansas City,0.05
12,New England,0.05
13,Tennessee,0.05
14,Baltimore,0.05
15,New Orleans,0.05
16,Pittsburgh,0.05
17,NY Jets,0.05
18,Miami,0.05
19,Philadelphia,0.05
20,Detroit,0.05
21,Buffalo,0.05
22,Jacksonville,0.05
23,Minnesota,0.05
24,San Francisco,0.05
25,Carolina,0.05
26,Chicago,0.05
27,LA Chargers,0.05
28,Cleveland,0.05
29,Arizona,0.05
30,Houston,0.05
31,Las Vegas,0.06
32,Dallas,0.06
