Rank,Team,2021 penalty-yards-per-game
1,LA Rams,35.7
2,Cincinnati,37.3
3,Green Bay,39.1
4,NY Giants,39.6
5,Indianapolis,40.5
6,Denver,41.8
7,Washington,43.7
8,Atlanta,44.3
9,Seattle,47.2
10,New Orleans,47.7
11,Detroit,48.5
12,Miami,48.5
13,Kansas City,48.6
14,Pittsburgh,48.7
15,Philadelphia,49.3
16,New England,49.3
17,Baltimore,50.1
18,Jacksonville,50.4
19,NY Jets,50.6
20,Carolina,50.8
21,Tampa Bay,51.1
22,Chicago,53.8
23,Buffalo,54.8
24,Tennessee,54.9
25,Houston,57.5
26,Arizona,57.8
27,LA Chargers,60.8
28,Cleveland,60.9
29,San Francisco,60.9
30,Minnesota,61.4
31,Las Vegas,63.9
32,Dallas,66.2
