Rank,Team,2021 opponent-fourth-downs-per-game
1,Detroit,0.8
2,Cincinnati,1.0
3,Miami,1.1
3,Baltimore,1.1
5,Houston,1.1
6,Washington,1.2
7,New Orleans,1.2
7,Jacksonville,1.2
7,NY Jets,1.2
7,Carolina,1.2
7,Indianapolis,1.2
12,Atlanta,1.3
12,LA Chargers,1.3
14,Pittsburgh,1.3
14,Tennessee,1.3
16,NY Giants,1.4
17,San Francisco,1.4
18,Chicago,1.4
19,Dallas,1.4
20,Cleveland,1.5
21,Denver,1.5
22,Tampa Bay,1.6
23,Las Vegas,1.7
23,Arizona,1.7
23,Philadelphia,1.7
26,Minnesota,1.8
27,New England,1.8
28,Seattle,1.8
29,Kansas City,1.9
30,Green Bay,1.9
31,LA Rams,2.0
32,Buffalo,2.1
