Rank,Team,2021 3rd-quarter-time-of-possession-share-pct
1,Kansas City,61.24%
2,Green Bay,56.12%
3,Cincinnati,55.58%
4,Baltimore,55.42%
5,Indianapolis,54.56%
6,San Francisco,54.33%
7,Las Vegas,53.86%
8,New England,53.38%
9,Philadelphia,53.16%
10,Tennessee,52.51%
11,Tampa Bay,51.75%
12,Buffalo,51.39%
13,Denver,51.02%
14,Arizona,50.27%
15,Chicago,50.24%
16,Washington,50.09%
17,NY Giants,49.11%
18,New Orleans,48.09%
19,NY Jets,47.99%
20,Minnesota,47.97%
21,LA Chargers,47.72%
22,Carolina,47.65%
23,Houston,46.93%
24,Seattle,46.73%
25,Jacksonville,46.00%
26,Cleveland,45.95%
27,Dallas,45.51%
28,Atlanta,45.46%
29,Pittsburgh,45.19%
30,Miami,44.53%
31,Detroit,44.24%
32,LA Rams,42.70%
