Rank,Team,2021 opponent-gross-punt-yards-per-game
1,LA Chargers,123.8
2,Detroit,126.7
3,New England,143.3
4,NY Jets,145.6
5,Atlanta,146.2
6,Houston,147.8
7,Kansas City,157.3
8,Green Bay,160.1
9,Indianapolis,161.8
10,Arizona,161.8
11,Chicago,166.1
12,Jacksonville,169.5
13,NY Giants,171.3
14,Philadelphia,171.4
15,Washington,172.0
16,Minnesota,176.5
17,Tennessee,177.2
18,Denver,177.7
19,LA Rams,179.0
20,Las Vegas,181.3
21,Dallas,183.6
22,Seattle,183.8
23,Tampa Bay,187.9
24,Buffalo,190.7
25,Cincinnati,191.1
26,Miami,194.6
27,San Francisco,198.3
28,Carolina,199.8
29,Pittsburgh,200.6
30,Cleveland,201.5
31,New Orleans,214.4
32,Baltimore,222.8
