Rank,Team,2021 opponent-points-per-game
1,Buffalo,18.3
2,Denver,18.9
3,New England,19.4
4,New Orleans,19.7
5,San Francisco,20.6
6,Tennessee,20.7
7,Tampa Bay,20.9
8,Dallas,21.2
9,LA Rams,21.3
10,Green Bay,21.3
11,Indianapolis,21.5
12,Seattle,21.5
13,Cincinnati,21.8
14,Cleveland,21.8
15,Miami,21.9
16,Arizona,22.2
17,Kansas City,22.4
18,Baltimore,23.1
19,Philadelphia,23.1
20,Carolina,23.8
21,Chicago,23.9
22,Pittsburgh,24.4
23,NY Giants,24.5
24,Minnesota,25.1
25,Washington,25.5
26,Las Vegas,25.8
27,Houston,26.6
28,Jacksonville,26.9
29,Atlanta,27.0
29,LA Chargers,27.0
31,Detroit,27.5
32,NY Jets,29.6
