Rank,Team,2021 qb-sacked-per-game
1,Buffalo,1.5
2,Tampa Bay,1.6
3,New England,1.7
4,Minnesota,1.8
5,LA Rams,1.8
6,LA Chargers,1.8
7,Philadelphia,1.8
8,San Francisco,1.9
8,Kansas City,1.9
10,Jacksonville,1.9
10,Indianapolis,1.9
12,Dallas,2.1
12,Green Bay,2.1
14,Detroit,2.1
15,New Orleans,2.2
16,Pittsburgh,2.2
17,NY Giants,2.2
18,Arizona,2.3
19,Atlanta,2.4
19,Miami,2.4
19,Denver,2.4
22,Las Vegas,2.4
23,Washington,2.5
24,Houston,2.6
25,Tennessee,2.7
26,Seattle,2.7
27,Cleveland,2.9
28,Carolina,3.1
29,NY Jets,3.1
30,Baltimore,3.4
31,Chicago,3.4
32,Cincinnati,3.5
