Rank,Team,2021 completions-per-game
1,Tampa Bay,29.0
2,Kansas City,26.9
3,LA Chargers,26.1
4,Dallas,26.0
5,Las Vegas,25.4
6,Pittsburgh,25.2
7,Buffalo,24.4
8,Arizona,24.1
9,LA Rams,24.0
10,Miami,23.8
11,Green Bay,23.4
12,Minnesota,23.4
13,Detroit,23.3
13,Baltimore,23.3
15,Cincinnati,23.0
16,Atlanta,22.2
17,New England,21.6
18,Jacksonville,21.2
19,NY Jets,21.0
20,Washington,20.9
21,Houston,20.8
21,Denver,20.8
23,Tennessee,20.8
24,NY Giants,20.6
25,Carolina,20.5
26,Chicago,19.5
27,San Francisco,19.3
28,Seattle,19.1
28,Indianapolis,19.1
30,Cleveland,18.8
31,Philadelphia,18.3
32,New Orleans,17.2
