Rank,Team,2021 percent-of-games-with-an-interception-thrown
1,Green Bay,27.8%
2,Seattle,29.4%
2,Indianapolis,29.4%
4,Denver,35.3%
4,Minnesota,35.3%
6,Atlanta,41.2%
6,New Orleans,41.2%
8,Philadelphia,44.4%
9,Jacksonville,47.1%
10,Pittsburgh,50.0%
10,Arizona,50.0%
12,Cincinnati,52.4%
13,Tampa Bay,52.6%
13,Buffalo,52.6%
15,Cleveland,52.9%
15,Houston,52.9%
17,Dallas,55.6%
17,Tennessee,55.6%
17,New England,55.6%
20,Detroit,58.8%
21,Kansas City,60.0%
22,LA Rams,61.9%
23,Washington,64.7%
23,NY Jets,64.7%
23,Miami,64.7%
23,LA Chargers,64.7%
23,NY Giants,64.7%
23,Baltimore,64.7%
29,San Francisco,65.0%
30,Chicago,70.6%
31,Las Vegas,72.2%
32,Carolina,76.5%
