Rank,Team,2021 opponent-two-point-conversion-pct
1,Pittsburgh,0.00%
1,Miami,0.00%
1,New England,0.00%
1,NY Giants,0.00%
5,Cleveland,12.50%
6,Washington,20.00%
6,Baltimore,20.00%
8,Carolina,22.22%
9,Philadelphia,25.00%
10,Detroit,28.57%
11,New Orleans,33.33%
11,Chicago,33.33%
13,Cincinnati,40.00%
14,Jacksonville,50.00%
14,NY Jets,50.00%
14,Tennessee,50.00%
14,Denver,50.00%
14,Seattle,50.00%
19,Atlanta,55.56%
20,Dallas,57.14%
20,San Francisco,57.14%
20,Kansas City,57.14%
20,LA Chargers,57.14%
24,Houston,60.00%
24,Buffalo,60.00%
24,Green Bay,60.00%
27,Indianapolis,71.43%
28,Tampa Bay,75.00%
29,Las Vegas,80.00%
29,LA Rams,80.00%
31,Minnesota,83.33%
32,Arizona,100.00%
