Rank,Team,2021 opponent-passing-touchdowns-per-game
1,Buffalo,0.9
2,LA Rams,1.0
3,New Orleans,1.2
4,Denver,1.3
5,Dallas,1.3
5,Tennessee,1.3
7,Miami,1.4
8,San Francisco,1.4
9,Jacksonville,1.4
9,Seattle,1.4
11,New England,1.4
12,Tampa Bay,1.5
13,Carolina,1.5
14,Houston,1.6
14,LA Chargers,1.6
14,NY Giants,1.6
17,Cincinnati,1.6
18,NY Jets,1.6
19,Pittsburgh,1.7
19,Philadelphia,1.7
21,Cleveland,1.7
21,Minnesota,1.7
23,Las Vegas,1.7
23,Green Bay,1.7
25,Kansas City,1.8
26,Arizona,1.8
27,Atlanta,1.8
27,Detroit,1.8
27,Chicago,1.8
27,Baltimore,1.8
31,Indianapolis,1.9
32,Washington,2.0
