Rank,Team,2021 seconds-per-play
1,LA Chargers,26.7
2,Dallas,26.9
3,Tampa Bay,27.0
4,Jacksonville,27.1
5,Seattle,27.3
6,NY Jets,27.4
7,Pittsburgh,27.5
8,NY Giants,27.9
9,Minnesota,27.9
10,Kansas City,27.9
11,Detroit,28.2
12,Arizona,28.2
13,Philadelphia,28.3
14,Carolina,28.3
15,Miami,28.4
16,Buffalo,28.5
17,LA Rams,28.5
18,Houston,28.5
19,Atlanta,28.6
20,Baltimore,28.6
21,Chicago,28.8
22,Las Vegas,28.9
23,Washington,29.3
24,New England,29.6
25,New Orleans,29.7
26,Cleveland,29.8
27,Tennessee,30.0
28,Denver,30.3
29,San Francisco,30.6
30,Cincinnati,30.7
31,Indianapolis,31.1
32,Green Bay,31.5
