Rank,Team,2021 opponent-gross-yards-per-successful-punt
1,NY Jets,41.9
2,NY Giants,43.5
3,Houston,44.1
4,Tennessee,44.3
5,Cincinnati,44.6
6,Tampa Bay,44.6
7,Miami,44.7
8,Philadelphia,44.7
9,Chicago,44.8
10,Jacksonville,45.0
11,Pittsburgh,45.1
12,New Orleans,45.6
13,Baltimore,45.6
14,LA Chargers,45.7
15,Detroit,45.8
16,Indianapolis,45.8
17,LA Rams,45.8
18,Buffalo,45.9
19,Dallas,45.9
20,Carolina,45.9
21,Seattle,45.9
22,Arizona,46.2
23,Washington,46.4
24,Green Bay,46.5
25,Las Vegas,46.6
26,Minnesota,46.9
27,Atlanta,46.9
28,New England,46.9
29,Kansas City,47.7
30,Cleveland,48.2
31,San Francisco,49.0
32,Denver,50.4
