Rank,Team,2021 opponent-extra-points-made-per-game
1,Buffalo,1.6
2,Denver,1.6
3,Tennessee,1.7
4,Dallas,1.7
5,New Orleans,1.8
6,New England,1.8
7,Seattle,1.8
7,Indianapolis,1.8
9,Carolina,1.9
10,Cleveland,1.9
11,Tampa Bay,2.0
12,LA Rams,2.0
13,San Francisco,2.1
14,Cincinnati,2.1
15,Arizona,2.2
15,Green Bay,2.2
17,Kansas City,2.2
18,Philadelphia,2.2
19,Miami,2.2
19,Minnesota,2.2
21,Atlanta,2.3
21,Baltimore,2.3
23,Pittsburgh,2.4
24,Chicago,2.5
24,NY Giants,2.5
26,Washington,2.5
26,Detroit,2.5
26,LA Chargers,2.5
29,Las Vegas,2.6
30,Houston,2.6
31,Jacksonville,2.8
32,NY Jets,2.9
