Rank,Team,2021 gross-yards-per-successful-punt
1,Las Vegas,50.0
2,Detroit,49.2
3,Arizona,48.8
4,Dallas,48.7
5,Washington,48.1
6,New Orleans,47.7
7,New England,47.3
8,Jacksonville,47.0
9,Seattle,46.9
10,NY Jets,46.8
11,Houston,46.7
12,Green Bay,46.6
13,Minnesota,46.5
14,Chicago,46.2
15,Atlanta,46.1
16,Kansas City,46.1
17,Denver,46.0
18,Cincinnati,45.6
19,LA Chargers,45.2
20,Miami,44.7
21,San Francisco,44.6
22,Indianapolis,44.5
23,NY Giants,44.4
24,Baltimore,44.4
25,LA Rams,44.2
26,Tennessee,44.1
27,Pittsburgh,44.0
28,Philadelphia,43.7
29,Carolina,43.6
30,Tampa Bay,43.3
31,Cleveland,43.0
32,Buffalo,42.9
