Rank,Team,2021 net-yards-per-successful-punt
1,Dallas,45.1
2,Jacksonville,43.9
3,Denver,42.8
4,Las Vegas,42.3
5,Detroit,42.3
6,NY Jets,42.1
7,Kansas City,42.1
8,Arizona,42.1
9,New Orleans,42.0
10,Washington,42.0
11,LA Rams,41.8
12,Houston,41.7
13,Seattle,41.7
14,Minnesota,41.3
15,New England,41.3
16,Atlanta,41.0
17,Cincinnati,40.9
18,San Francisco,40.6
19,Green Bay,40.2
20,Miami,40.1
21,Baltimore,40.0
22,Tennessee,39.9
23,Indianapolis,39.7
24,NY Giants,39.5
25,Carolina,39.3
26,Philadelphia,38.9
27,Pittsburgh,38.6
28,Tampa Bay,38.6
29,Chicago,38.5
30,Cleveland,38.3
31,Buffalo,37.7
32,LA Chargers,37.3
