Rank,Team,2021 opponent-touchbacks-per-game
1,Buffalo,2.1
2,Chicago,2.2
3,Seattle,2.3
4,New Orleans,2.4
5,Green Bay,2.4
6,San Francisco,2.4
7,Cleveland,2.4
7,Indianapolis,2.4
9,LA Rams,2.6
10,Tennessee,2.6
10,New England,2.6
12,Philadelphia,2.8
13,Cincinnati,2.9
14,Tampa Bay,2.9
15,Atlanta,2.9
16,Arizona,2.9
17,Kansas City,3.0
17,Baltimore,3.0
19,Pittsburgh,3.1
20,Houston,3.1
21,Washington,3.1
21,LA Chargers,3.1
23,Dallas,3.2
24,Denver,3.2
25,NY Jets,3.4
26,Carolina,3.5
27,Las Vegas,3.5
28,Jacksonville,3.5
28,NY Giants,3.5
30,Minnesota,3.6
31,Detroit,3.7
32,Miami,3.8
