Rank,Team,2021 yards-per-rush-attempt
1,Cleveland,5.1
2,Indianapolis,5.1
3,Seattle,5.0
4,Philadelphia,5.0
5,Buffalo,4.8
6,Baltimore,4.8
7,Kansas City,4.7
8,Jacksonville,4.5
9,Denver,4.5
10,Dallas,4.4
11,Detroit,4.4
12,Tennessee,4.4
13,New England,4.4
14,NY Jets,4.4
15,LA Chargers,4.3
16,Washington,4.3
17,Minnesota,4.3
18,Tampa Bay,4.3
19,San Francisco,4.3
20,Chicago,4.2
21,Green Bay,4.2
22,Arizona,4.2
23,Carolina,4.0
24,NY Giants,4.0
25,Las Vegas,4.0
26,Cincinnati,4.0
27,New Orleans,3.9
28,Pittsburgh,3.8
29,LA Rams,3.7
30,Atlanta,3.7
31,Miami,3.5
32,Houston,3.4
