Rank,Team,2021 2nd-quarter-points-per-game
1,Tennessee,9.6
2,Green Bay,9.6
3,LA Chargers,9.2
4,LA Rams,9.1
5,Dallas,8.5
6,Tampa Bay,8.3
7,Kansas City,8.3
8,Cincinnati,8.2
9,Seattle,8.1
10,New England,8.1
11,Cleveland,7.8
12,Atlanta,7.7
13,Indianapolis,7.5
14,Buffalo,7.5
15,San Francisco,7.2
16,Baltimore,7.0
17,Chicago,6.9
18,Arizona,6.8
19,New Orleans,6.8
20,Minnesota,6.8
21,Washington,6.6
22,Detroit,6.3
23,Denver,6.2
24,Las Vegas,6.0
25,Houston,5.8
26,Philadelphia,5.8
27,Carolina,5.1
28,NY Jets,4.9
29,Jacksonville,4.8
30,Pittsburgh,4.7
31,Miami,4.0
32,NY Giants,3.8
