Rank,Team,2021 opponent-rushing-touchdown-pct
1,Indianapolis,23.26%
2,Arizona,23.91%
3,Denver,25.00%
4,New England,26.19%
5,Baltimore,27.08%
6,Washington,27.45%
7,Green Bay,28.26%
8,Tampa Bay,29.55%
9,Kansas City,29.63%
10,Chicago,29.79%
11,Cincinnati,30.19%
12,Cleveland,30.23%
13,Minnesota,32.61%
14,NY Giants,33.33%
15,Las Vegas,33.96%
16,New Orleans,34.29%
17,Atlanta,34.55%
18,Pittsburgh,34.69%
19,Carolina,35.56%
20,Detroit,36.54%
21,Dallas,36.59%
22,Tennessee,38.46%
23,Seattle,39.02%
24,Philadelphia,39.22%
25,San Francisco,39.58%
26,Miami,40.00%
27,Jacksonville,42.31%
27,LA Chargers,42.31%
29,LA Rams,43.75%
30,Houston,47.17%
31,NY Jets,49.12%
32,Buffalo,53.85%
