Rank,Team,2021 penalty-first-downs-per-game
1,Philadelphia,1.3
2,Tampa Bay,1.4
3,LA Rams,1.5
4,Arizona,1.5
5,Baltimore,1.5
6,Buffalo,1.6
7,Cleveland,1.6
7,Houston,1.6
7,Minnesota,1.6
10,Cincinnati,1.6
11,NY Jets,1.6
11,Denver,1.6
13,New Orleans,1.7
14,Carolina,1.8
14,Seattle,1.8
16,Dallas,1.8
16,Green Bay,1.8
18,San Francisco,1.9
18,Kansas City,1.9
20,Detroit,1.9
20,Miami,1.9
22,Tennessee,1.9
23,LA Chargers,1.9
23,Indianapolis,1.9
25,Pittsburgh,1.9
26,Chicago,2.0
26,Jacksonville,2.0
28,Atlanta,2.1
28,Washington,2.1
30,New England,2.1
31,NY Giants,2.2
32,Las Vegas,2.3
