Rank,Team,2021 percent-of-games-with-an-interception
1,Dallas,77.8%
2,LA Rams,71.4%
3,New Orleans,70.6%
4,Green Bay,66.7%
4,Cincinnati,66.7%
6,Kansas City,65.0%
7,Minnesota,64.7%
7,Indianapolis,64.7%
9,Tampa Bay,63.2%
10,Pittsburgh,61.1%
10,Tennessee,61.1%
10,New England,61.1%
13,Houston,58.8%
13,NY Giants,58.8%
15,Buffalo,57.9%
16,Detroit,52.9%
16,Miami,52.9%
16,Denver,52.9%
19,Arizona,50.0%
20,Atlanta,47.1%
20,Cleveland,47.1%
20,LA Chargers,47.1%
20,Baltimore,47.1%
20,Seattle,47.1%
25,San Francisco,45.0%
26,Philadelphia,44.4%
27,Washington,41.2%
27,Carolina,41.2%
29,Jacksonville,35.3%
29,NY Jets,35.3%
31,Chicago,29.4%
32,Las Vegas,22.2%
