Rank,Team,2021 opp-3rd-quarter-points-per-game
1,Cincinnati,2.5
2,Buffalo,2.8
3,Green Bay,2.8
4,Las Vegas,2.9
5,Indianapolis,3.4
6,Miami,3.6
7,New England,3.7
8,Philadelphia,3.7
9,Kansas City,3.8
10,San Francisco,4.0
11,Dallas,4.0
12,Denver,4.2
13,Cleveland,4.4
14,Washington,4.5
15,New Orleans,4.8
15,Baltimore,4.8
17,LA Chargers,4.9
18,Tampa Bay,4.9
19,NY Giants,5.0
20,Tennessee,5.1
21,Seattle,5.1
22,NY Jets,5.1
23,Arizona,5.2
24,Chicago,5.5
25,Atlanta,5.6
26,LA Rams,6.0
26,Minnesota,6.0
28,Houston,6.1
29,Pittsburgh,6.3
30,Carolina,6.5
31,Detroit,6.6
32,Jacksonville,6.8
