Rank,Team,2021 interceptions-per-game
1,Dallas,1.5
2,New England,1.3
3,Indianapolis,1.1
4,Buffalo,1.1
5,LA Rams,1.1
6,New Orleans,1.1
7,Green Bay,1.1
8,Houston,1.0
8,Tampa Bay,1.0
8,Cincinnati,1.0
11,Tennessee,0.9
12,Minnesota,0.9
13,NY Giants,0.9
14,Miami,0.8
15,Kansas City,0.8
16,Pittsburgh,0.8
17,Cleveland,0.8
17,Denver,0.8
19,Arizona,0.7
20,Atlanta,0.7
21,Philadelphia,0.7
22,Washington,0.6
22,Detroit,0.6
22,LA Chargers,0.6
22,Seattle,0.6
26,San Francisco,0.6
27,Carolina,0.5
27,Baltimore,0.5
29,Chicago,0.5
30,Jacksonville,0.4
30,NY Jets,0.4
32,Las Vegas,0.3
