Rank,Team,2021 yards-per-play
1,Kansas City,6.1
2,San Francisco,6.0
3,Tampa Bay,5.9
4,Dallas,5.9
5,LA Rams,5.9
6,LA Chargers,5.9
7,Buffalo,5.9
8,Seattle,5.8
9,Green Bay,5.8
10,Cincinnati,5.7
11,Las Vegas,5.7
12,Minnesota,5.7
13,Philadelphia,5.7
14,New England,5.7
15,Indianapolis,5.6
16,Arizona,5.5
17,Cleveland,5.5
18,Baltimore,5.4
19,Denver,5.4
20,Tennessee,5.2
21,Detroit,5.2
22,Washington,5.1
23,Atlanta,5.1
24,Jacksonville,5.0
25,NY Jets,5.0
26,New Orleans,4.9
27,Chicago,4.9
28,Pittsburgh,4.8
29,Miami,4.8
30,Houston,4.7
31,NY Giants,4.7
32,Carolina,4.6
