Rank,Team,2021 opponent-rushing-first-down-pct
1,Baltimore,23.82%
2,Tampa Bay,26.70%
3,Tennessee,27.01%
4,New Orleans,27.63%
5,Washington,29.19%
6,Cincinnati,30.00%
7,San Francisco,30.24%
8,Indianapolis,30.24%
9,Dallas,30.46%
10,Las Vegas,30.79%
11,Seattle,31.00%
12,LA Rams,31.07%
13,Miami,31.45%
14,Denver,31.73%
15,Arizona,32.10%
16,NY Jets,32.17%
17,Philadelphia,32.28%
18,Cleveland,33.03%
19,Kansas City,33.10%
20,Minnesota,33.50%
21,NY Giants,34.52%
22,Jacksonville,35.33%
23,Houston,35.34%
24,Green Bay,35.82%
25,Buffalo,35.82%
26,Carolina,36.01%
27,Chicago,36.14%
28,Detroit,36.29%
29,New England,37.09%
30,Atlanta,37.34%
31,LA Chargers,37.60%
32,Pittsburgh,39.47%
