Rank,Team,2021 opponent-completion-pct
1,Buffalo,57.84%
2,Dallas,59.65%
3,New England,60.39%
4,Denver,60.68%
5,Miami,61.35%
6,New Orleans,62.33%
7,Green Bay,62.70%
8,Tennessee,63.61%
9,Cleveland,63.72%
10,LA Chargers,63.86%
11,Baltimore,63.93%
12,Pittsburgh,64.01%
13,Minnesota,64.06%
14,LA Rams,64.86%
15,Tampa Bay,65.18%
16,Indianapolis,65.33%
17,Carolina,65.44%
18,NY Giants,65.79%
19,Arizona,65.80%
20,Cincinnati,65.82%
21,Chicago,65.83%
22,Kansas City,65.84%
23,Detroit,65.99%
24,Las Vegas,66.25%
25,Houston,66.48%
26,Washington,67.00%
27,Seattle,67.33%
28,San Francisco,67.42%
29,Atlanta,67.76%
30,NY Jets,68.31%
31,Jacksonville,69.43%
32,Philadelphia,69.97%
