Rank,Team,2021 two-point-conversion-pct
1,San Francisco,100.00%
1,Houston,100.00%
3,Philadelphia,85.71%
4,NY Giants,80.00%
5,Chicago,75.00%
5,Cleveland,75.00%
5,New England,75.00%
5,Carolina,75.00%
9,Miami,66.67%
9,Tennessee,66.67%
9,Kansas City,66.67%
9,Seattle,66.67%
13,LA Chargers,63.64%
14,Dallas,60.00%
14,Detroit,60.00%
16,Buffalo,57.14%
17,LA Rams,50.00%
18,NY Jets,44.44%
19,Pittsburgh,40.00%
20,Atlanta,33.33%
20,Tampa Bay,33.33%
20,Denver,33.33%
20,Green Bay,33.33%
20,Cincinnati,33.33%
20,Indianapolis,33.33%
26,Washington,25.00%
26,Arizona,25.00%
26,Baltimore,25.00%
29,Jacksonville,20.00%
30,Minnesota,14.29%
31,New Orleans,0.00%
31,Las Vegas,0.00%
