Rank,Team,2021 completion-pct
1,Arizona,69.44%
2,Cincinnati,69.05%
3,Green Bay,67.85%
4,Dallas,67.73%
5,New England,67.71%
6,LA Rams,67.42%
7,Kansas City,67.42%
8,Las Vegas,67.16%
9,Tampa Bay,67.03%
10,Tennessee,66.91%
11,Detroit,66.78%
12,Minnesota,65.89%
13,Atlanta,65.79%
14,LA Chargers,65.73%
15,Miami,65.69%
16,San Francisco,65.65%
17,Seattle,65.45%
18,Denver,65.43%
19,Houston,64.84%
20,Baltimore,64.81%
21,Washington,64.73%
22,Buffalo,64.57%
23,Pittsburgh,64.12%
24,Indianapolis,62.19%
25,Cleveland,61.54%
26,Philadelphia,61.45%
27,Chicago,61.25%
28,Jacksonville,59.77%
29,NY Jets,59.20%
30,NY Giants,59.19%
31,New Orleans,58.13%
32,Carolina,58.10%
