Rank,Team,2021 opponent-passing-first-down-pct
1,Buffalo,51.34%
2,LA Chargers,51.96%
3,Chicago,52.96%
4,Pittsburgh,53.95%
5,Carolina,54.66%
6,Atlanta,55.87%
7,New England,56.08%
8,Cleveland,56.27%
9,Jacksonville,56.41%
10,Detroit,56.72%
11,Houston,57.07%
12,Minnesota,57.29%
13,San Francisco,57.56%
14,Green Bay,57.59%
15,Arizona,57.67%
16,Dallas,57.76%
17,Philadelphia,58.27%
18,NY Jets,58.35%
19,Kansas City,58.69%
20,Las Vegas,58.86%
21,Miami,59.05%
22,NY Giants,59.18%
23,Seattle,60.00%
24,New Orleans,60.86%
25,Denver,61.54%
26,Tennessee,62.36%
27,LA Rams,62.62%
28,Tampa Bay,63.09%
29,Washington,63.58%
30,Indianapolis,63.77%
31,Cincinnati,63.81%
32,Baltimore,68.24%
