Rank,Team,2021 opponent-passing-play-pct
1,Chicago,52.13%
2,Houston,52.50%
3,Detroit,52.56%
4,Atlanta,53.41%
5,Jacksonville,53.84%
6,LA Chargers,53.85%
7,Carolina,53.89%
8,NY Jets,54.15%
9,New England,54.85%
10,Pittsburgh,55.97%
11,NY Giants,56.73%
12,Arizona,57.24%
13,Buffalo,57.40%
13,Philadelphia,57.40%
15,Denver,57.56%
16,Seattle,57.62%
17,Las Vegas,58.16%
18,Cleveland,58.62%
19,San Francisco,58.69%
20,Minnesota,58.77%
21,Dallas,59.21%
22,Washington,59.62%
23,New Orleans,59.96%
24,Indianapolis,60.00%
25,Miami,60.68%
26,Kansas City,60.96%
27,Green Bay,61.07%
28,LA Rams,61.96%
29,Cincinnati,62.81%
30,Baltimore,63.41%
31,Tennessee,65.00%
32,Tampa Bay,66.29%
