Rank,Team,2021 opponent-kickoffs-per-game
1,Buffalo,4.2
2,Denver,4.4
3,New England,4.4
3,Green Bay,4.4
5,New Orleans,4.6
6,Indianapolis,4.6
7,San Francisco,4.7
8,Arizona,4.8
9,Tampa Bay,4.8
10,LA Rams,4.8
11,Kansas City,4.9
12,Cincinnati,4.9
13,Miami,4.9
13,Seattle,4.9
15,Dallas,5.0
15,Tennessee,5.0
15,Cleveland,5.0
15,Baltimore,5.0
19,Philadelphia,5.1
20,Chicago,5.3
21,Carolina,5.4
22,Washington,5.4
23,NY Giants,5.5
23,Minnesota,5.5
25,Pittsburgh,5.5
26,LA Chargers,5.6
27,Atlanta,5.7
28,Jacksonville,5.8
28,Houston,5.8
30,Las Vegas,5.8
31,Detroit,5.9
32,NY Jets,6.4
