Rank,Team,2021 extra-points-made-per-game
1,Tampa Bay,3.3
2,Buffalo,3.2
3,Kansas City,3.1
4,LA Rams,2.8
5,Green Bay,2.8
6,Dallas,2.7
7,Indianapolis,2.7
8,Arizona,2.6
9,Seattle,2.6
10,Cincinnati,2.5
11,Philadelphia,2.5
12,Tennessee,2.4
12,New England,2.4
14,LA Chargers,2.4
15,San Francisco,2.4
16,Cleveland,2.2
17,Minnesota,2.1
18,Miami,2.0
19,Denver,1.9
20,Baltimore,1.9
21,New Orleans,1.8
22,Atlanta,1.8
23,Las Vegas,1.7
24,Pittsburgh,1.7
25,Detroit,1.6
25,Chicago,1.6
27,Carolina,1.5
28,Washington,1.5
28,Houston,1.5
30,NY Jets,1.4
31,Jacksonville,1.1
32,NY Giants,1.0
