Rank,Team,2021 opponent-tackles-per-game
1,NY Jets,54.0
2,Seattle,54.3
3,Jacksonville,56.9
4,Atlanta,58.5
5,NY Giants,58.6
6,Houston,59.6
7,Philadelphia,59.7
8,New Orleans,59.7
9,Chicago,59.9
10,Cleveland,60.1
11,New England,60.4
12,Minnesota,60.7
13,LA Rams,60.8
14,Washington,60.9
14,Carolina,60.9
16,Detroit,60.9
17,LA Chargers,61.2
18,Cincinnati,61.3
19,Green Bay,61.5
20,Buffalo,61.8
21,Denver,62.0
22,Tampa Bay,62.1
23,Kansas City,62.1
24,Indianapolis,62.1
25,Las Vegas,62.3
26,San Francisco,62.9
27,Arizona,63.1
28,Pittsburgh,63.4
29,Miami,63.4
30,Dallas,64.1
31,Tennessee,65.1
32,Baltimore,66.2
