Rank,Team,2021 opponent-kickoff-touchback-pct
1,Chicago,42.22%
2,Seattle,46.43%
3,Cleveland,48.24%
4,Buffalo,50.00%
5,New Orleans,51.28%
6,Atlanta,51.55%
7,San Francisco,51.61%
8,Indianapolis,51.90%
9,Tennessee,52.22%
10,Houston,53.06%
11,NY Jets,53.21%
12,LA Rams,53.47%
13,Green Bay,53.75%
14,Pittsburgh,55.56%
15,LA Chargers,55.79%
16,Philadelphia,56.04%
17,Washington,57.61%
18,Cincinnati,58.25%
19,New England,58.75%
20,Las Vegas,60.00%
20,Baltimore,60.00%
22,Tampa Bay,60.44%
23,Jacksonville,61.22%
23,Kansas City,61.22%
25,Arizona,61.63%
26,Detroit,63.00%
27,Dallas,63.33%
28,NY Giants,64.52%
29,Carolina,64.84%
30,Minnesota,65.59%
31,Denver,72.97%
32,Miami,77.38%
