Rank,Team,2021 opponent-offensive-point-share-pct
1,Tennessee,100.0%
2,NY Jets,98.6%
3,Houston,98.5%
4,Cleveland,98.2%
5,Seattle,98.1%
6,Indianapolis,98.1%
7,Philadelphia,97.9%
8,San Francisco,97.8%
9,Miami,97.6%
10,Buffalo,97.4%
11,Detroit,97.0%
12,Pittsburgh,96.9%
13,Minnesota,96.7%
14,Chicago,96.6%
15,Tampa Bay,96.5%
16,Green Bay,96.4%
17,Dallas,96.3%
18,Cincinnati,95.4%
19,LA Chargers,95.4%
20,Kansas City,95.3%
21,Washington,95.2%
22,NY Giants,94.5%
23,Carolina,94.4%
24,Las Vegas,94.0%
25,New Orleans,93.8%
26,Arizona,93.8%
27,Baltimore,93.0%
28,Atlanta,92.4%
29,LA Rams,92.1%
30,Jacksonville,90.9%
31,New England,90.3%
32,Denver,89.2%
