Rank,Team,2021 touchbacks-per-game
1,Dallas,4.9
2,Minnesota,4.5
3,Tampa Bay,4.4
4,Arizona,4.1
5,Kansas City,4.0
6,LA Rams,3.9
7,Denver,3.6
7,LA Chargers,3.6
9,Philadelphia,3.4
10,Cincinnati,3.4
11,Buffalo,3.4
12,Miami,3.3
13,Las Vegas,3.0
14,Tennessee,2.9
15,New Orleans,2.9
16,NY Jets,2.8
17,Washington,2.8
17,Baltimore,2.8
17,Indianapolis,2.8
20,Carolina,2.6
21,New England,2.5
22,Green Bay,2.4
23,Pittsburgh,2.3
24,San Francisco,2.2
25,Atlanta,2.1
26,Chicago,2.0
26,Cleveland,2.0
28,Detroit,1.9
29,Houston,1.9
30,Seattle,1.8
31,NY Giants,1.6
32,Jacksonville,1.3
