Rank,Team,2021 punts-per-play
1,Kansas City,0.04
2,LA Chargers,0.04
3,Buffalo,0.05
4,Arizona,0.05
5,New England,0.05
6,LA Rams,0.05
7,Tennessee,0.05
8,Green Bay,0.05
9,Philadelphia,0.05
10,Indianapolis,0.06
11,Tampa Bay,0.06
12,Dallas,0.06
13,Las Vegas,0.06
14,Chicago,0.06
15,Washington,0.06
16,Baltimore,0.06
17,San Francisco,0.06
18,Detroit,0.06
19,Cincinnati,0.06
20,Cleveland,0.06
21,Denver,0.06
22,Atlanta,0.07
23,Carolina,0.07
24,NY Jets,0.07
25,Jacksonville,0.07
26,NY Giants,0.07
27,Miami,0.07
28,Pittsburgh,0.07
29,Minnesota,0.07
30,New Orleans,0.08
31,Seattle,0.09
32,Houston,0.09
