Rank,Team,2021 rushing-touchdowns-per-game
1,Philadelphia,1.4
2,Tennessee,1.3
2,Arizona,1.3
2,New England,1.3
5,Indianapolis,1.3
6,Buffalo,1.2
7,San Francisco,1.2
8,Cleveland,1.2
9,Tampa Bay,1.2
10,LA Chargers,1.1
10,Baltimore,1.1
10,Seattle,1.1
13,Carolina,1.0
14,Denver,0.9
15,Kansas City,0.9
16,Dallas,0.9
17,Chicago,0.8
17,NY Jets,0.8
19,Cincinnati,0.8
20,Las Vegas,0.8
20,Green Bay,0.8
22,Washington,0.8
22,Jacksonville,0.8
24,New Orleans,0.7
24,Detroit,0.7
24,Miami,0.7
27,Atlanta,0.6
28,Minnesota,0.6
29,LA Rams,0.6
30,Pittsburgh,0.6
31,Houston,0.5
31,NY Giants,0.5
