Rank,Team,2021 opponent-fumble-recovery-pct
1,Arizona,30.51%
2,Dallas,35.71%
3,Minnesota,36.11%
4,Buffalo,38.78%
5,Miami,40.82%
6,Baltimore,44.12%
7,Washington,44.19%
8,Las Vegas,44.23%
9,Green Bay,46.15%
10,Kansas City,46.43%
11,New Orleans,46.67%
12,Philadelphia,47.62%
13,Chicago,47.73%
14,Indianapolis,48.94%
15,Tampa Bay,50.00%
15,New England,50.00%
15,NY Giants,50.00%
15,Seattle,50.00%
19,Detroit,52.94%
20,Cincinnati,53.49%
21,Atlanta,54.35%
21,Pittsburgh,54.35%
23,Houston,55.81%
24,Tennessee,56.52%
25,San Francisco,56.90%
26,Carolina,58.70%
27,Cleveland,59.09%
28,LA Chargers,60.61%
29,Denver,62.50%
30,LA Rams,63.16%
31,NY Jets,65.00%
32,Jacksonville,66.67%
