Rank,Team,2021 opponent-net-punt-yards-per-game
1,Detroit,110.5
2,LA Chargers,115.1
3,New England,120.2
4,Atlanta,131.5
5,NY Jets,132.3
6,Kansas City,134.8
7,Houston,135.6
8,Chicago,137.9
9,Green Bay,145.1
10,Arizona,146.3
11,Indianapolis,148.2
12,Jacksonville,153.1
13,NY Giants,153.8
14,Philadelphia,153.9
15,Denver,154.8
16,Tennessee,155.1
17,Minnesota,158.5
18,Washington,160.6
19,LA Rams,161.9
20,Las Vegas,163.0
21,Seattle,165.4
22,Buffalo,166.0
23,Dallas,167.4
24,Cincinnati,167.5
25,Tampa Bay,170.6
26,Pittsburgh,171.6
27,San Francisco,172.3
28,Cleveland,175.8
29,Miami,177.5
30,Carolina,182.6
31,New Orleans,190.3
32,Baltimore,193.4
