Rank,Team,2021 fumbles-per-game
1,LA Chargers,0.6
2,Tampa Bay,0.7
3,Denver,0.7
4,LA Rams,0.8
5,New Orleans,0.8
5,NY Jets,0.8
7,Cincinnati,0.9
8,Detroit,1.0
8,Seattle,1.0
10,Houston,1.1
11,New England,1.1
11,Green Bay,1.1
13,San Francisco,1.2
14,Pittsburgh,1.2
15,Cleveland,1.2
15,Carolina,1.2
17,Jacksonville,1.2
17,Baltimore,1.2
17,Minnesota,1.2
17,Indianapolis,1.2
21,Buffalo,1.3
22,NY Giants,1.4
23,Tennessee,1.4
23,Philadelphia,1.4
25,Kansas City,1.4
26,Atlanta,1.4
26,Chicago,1.4
28,Washington,1.5
29,Dallas,1.6
30,Miami,1.7
31,Las Vegas,1.7
31,Arizona,1.7
