Rank,Team,2021 passing-touchdowns-per-game
1,Kansas City,2.5
2,Tampa Bay,2.4
3,LA Rams,2.4
4,Buffalo,2.4
5,Dallas,2.3
6,LA Chargers,2.2
7,Green Bay,2.2
8,Cincinnati,2.0
8,Minnesota,2.0
10,Seattle,1.8
11,New Orleans,1.7
12,Indianapolis,1.6
13,Arizona,1.5
14,New England,1.4
15,San Francisco,1.4
16,Pittsburgh,1.4
17,Detroit,1.4
18,Las Vegas,1.3
19,Tennessee,1.3
20,Washington,1.2
20,Miami,1.2
20,Cleveland,1.2
20,Houston,1.2
20,Baltimore,1.2
25,Atlanta,1.2
25,NY Jets,1.2
25,Denver,1.2
28,Philadelphia,1.2
29,Chicago,0.9
30,NY Giants,0.9
31,Carolina,0.8
32,Jacksonville,0.7
