Rank,Team,2021 opponent-yards-per-rush-attempt
1,New Orleans,3.7
2,Seattle,3.8
3,Baltimore,3.8
4,LA Rams,3.9
5,San Francisco,3.9
6,Tennessee,3.9
7,Philadelphia,4.0
8,Carolina,4.1
9,Washington,4.1
10,Las Vegas,4.2
11,Tampa Bay,4.2
12,Cleveland,4.2
13,Denver,4.3
14,Jacksonville,4.3
15,Atlanta,4.3
16,Buffalo,4.4
17,Cincinnati,4.4
18,Miami,4.4
19,Chicago,4.4
20,Indianapolis,4.4
21,Detroit,4.4
22,NY Giants,4.5
23,Dallas,4.5
24,NY Jets,4.5
25,Arizona,4.5
26,New England,4.6
27,Houston,4.6
28,Green Bay,4.6
29,LA Chargers,4.6
30,Kansas City,4.7
31,Minnesota,4.7
32,Pittsburgh,5.0
