Rank,Team,2021 opponent-first-downs-per-game
1,Buffalo,17.6
2,New Orleans,17.9
3,Carolina,18.3
4,Denver,18.4
5,New England,18.7
6,San Francisco,18.9
7,Chicago,18.9
8,Cleveland,19.2
9,Dallas,19.3
9,Tennessee,19.3
11,Green Bay,19.4
12,Arizona,19.6
13,LA Rams,19.6
14,Indianapolis,19.6
15,Miami,19.8
16,Cincinnati,20.0
16,Baltimore,20.0
18,Tampa Bay,20.1
19,Washington,20.4
20,Las Vegas,20.4
21,Jacksonville,20.6
22,Pittsburgh,21.1
23,Philadelphia,21.2
24,Kansas City,21.3
25,NY Giants,21.5
26,Detroit,21.9
27,Houston,22.5
28,Atlanta,22.5
28,LA Chargers,22.5
30,Minnesota,23.0
31,Seattle,23.5
32,NY Jets,23.6
