Rank,Team,2021 opponent-rushing-attempts-per-game
1,Tennessee,21.4
2,Tampa Bay,21.7
3,Baltimore,22.2
4,Green Bay,23.6
5,Cincinnati,23.6
6,Kansas City,24.5
7,LA Rams,24.5
8,Indianapolis,24.7
9,Miami,25.0
10,New Orleans,25.1
11,Washington,25.3
12,San Francisco,25.5
13,Cleveland,25.7
14,Buffalo,25.7
15,Arizona,25.8
16,Denver,25.9
17,Dallas,25.9
18,Las Vegas,27.1
19,Philadelphia,27.2
20,New England,27.4
21,Carolina,27.9
22,Minnesota,27.9
23,Chicago,28.4
24,Pittsburgh,28.9
25,NY Giants,28.9
26,Jacksonville,29.0
27,LA Chargers,29.9
27,Seattle,29.9
29,Detroit,30.5
30,Atlanta,30.5
31,Houston,30.8
32,NY Jets,30.9
