Rank,Team,2021 offensive-points-per-game
1,Tampa Bay,29.5
1,Buffalo,29.5
3,Kansas City,28.3
4,LA Chargers,27.3
5,Dallas,27.2
6,LA Rams,26.4
7,Cincinnati,25.8
8,New England,25.6
9,Indianapolis,25.3
10,Arizona,25.0
11,Green Bay,24.9
12,Minnesota,23.9
13,Philadelphia,23.3
14,San Francisco,23.2
15,Tennessee,22.8
16,Seattle,22.8
17,Baltimore,22.2
18,Las Vegas,22.1
19,New Orleans,21.3
20,Cleveland,19.7
21,Pittsburgh,19.6
22,Denver,19.4
23,Detroit,19.0
24,Washington,18.9
25,NY Jets,17.7
26,Miami,17.6
27,Atlanta,17.5
28,Carolina,17.4
29,Chicago,16.9
30,Houston,15.6
31,NY Giants,14.6
32,Jacksonville,14.0
