Rank,Team,2021 other-touchdowns-per-game
1,Dallas,0.5
2,Miami,0.4
3,Philadelphia,0.3
4,Minnesota,0.2
5,Tennessee,0.2
6,Kansas City,0.2
7,Washington,0.2
7,Chicago,0.2
7,Jacksonville,0.2
7,Indianapolis,0.2
11,New England,0.2
12,San Francisco,0.2
13,Atlanta,0.1
13,New Orleans,0.1
13,NY Jets,0.1
13,Cleveland,0.1
13,Houston,0.1
13,LA Chargers,0.1
13,Baltimore,0.1
20,Pittsburgh,0.1
20,Arizona,0.1
20,Green Bay,0.1
23,Tampa Bay,0.1
24,LA Rams,0.1
24,Cincinnati,0.1
26,Denver,0.1
26,Carolina,0.1
26,NY Giants,0.1
26,Seattle,0.1
30,Buffalo,0.1
31,Las Vegas,0.0
31,Detroit,0.0
