Rank,Team,2021 yards-per-completion
1,San Francisco,12.3
2,LA Rams,11.5
3,Cincinnati,11.2
4,Philadelphia,11.1
5,New Orleans,10.9
6,LA Chargers,10.8
7,Dallas,10.7
8,Kansas City,10.7
9,Green Bay,10.7
10,Minnesota,10.6
11,Buffalo,10.6
12,Seattle,10.6
13,Las Vegas,10.6
14,New England,10.5
15,Tampa Bay,10.5
16,Cleveland,10.4
17,Indianapolis,10.4
18,Denver,10.1
19,Arizona,10.1
20,Baltimore,10.0
21,NY Jets,9.9
22,Atlanta,9.8
23,Tennessee,9.7
24,Washington,9.7
25,Chicago,9.7
26,Jacksonville,9.5
27,Houston,9.3
28,Carolina,9.3
29,NY Giants,9.1
30,Detroit,9.1
31,Miami,9.0
32,Pittsburgh,8.8
