Rank,Team,2021 yards-per-point-margin
1,Seattle,3.7
2,Dallas,3.3
3,New England,3.3
4,Indianapolis,2.9
5,Buffalo,2.7
6,Tampa Bay,2.7
7,Cincinnati,2.6
8,Kansas City,2.5
9,New Orleans,1.9
10,LA Rams,1.8
11,Tennessee,1.8
12,Green Bay,1.0
13,Minnesota,0.8
14,Arizona,0.7
15,Denver,0.4
16,Philadelphia,0.2
17,San Francisco,0.1
18,Miami,0.1
19,Pittsburgh,-0.4
20,LA Chargers,-0.7
21,Baltimore,-0.9
22,Cleveland,-2.3
23,Washington,-2.4
24,Houston,-2.4
25,Atlanta,-3.0
26,Detroit,-3.0
27,NY Jets,-3.4
28,Chicago,-3.6
29,Las Vegas,-3.7
30,Carolina,-3.8
31,NY Giants,-4.4
32,Jacksonville,-7.4
