Rank,Team,2021 pass-attempts-per-game
1,Tampa Bay,43.3
2,Kansas City,39.9
3,LA Chargers,39.6
4,Pittsburgh,39.3
5,Dallas,38.4
6,Las Vegas,37.9
7,Buffalo,37.7
8,Miami,36.2
9,Baltimore,35.9
10,LA Rams,35.7
11,Jacksonville,35.5
11,Minnesota,35.5
13,NY Jets,35.5
14,Carolina,35.2
15,Detroit,34.9
15,NY Giants,34.9
17,Arizona,34.7
18,Green Bay,34.6
19,Atlanta,33.7
20,Cincinnati,33.2
21,Washington,32.4
22,Houston,32.1
23,Chicago,31.9
24,New England,31.8
25,Denver,31.8
26,Tennessee,31.1
27,Indianapolis,30.6
28,Cleveland,30.6
29,Philadelphia,29.8
30,New Orleans,29.6
31,San Francisco,29.4
32,Seattle,29.1
