Rank,Team,2021 extra-point-attempts-per-game
1,Tampa Bay,3.5
2,Kansas City,3.3
3,Buffalo,3.3
4,Dallas,3.1
5,Green Bay,2.9
6,LA Rams,2.9
7,LA Chargers,2.8
7,Seattle,2.8
7,Indianapolis,2.8
10,Arizona,2.7
10,New England,2.7
12,Tennessee,2.7
13,Cincinnati,2.6
14,San Francisco,2.6
15,Philadelphia,2.5
16,Minnesota,2.4
17,Cleveland,2.3
18,New Orleans,2.2
19,Miami,2.1
20,Denver,2.0
21,Las Vegas,1.9
22,Baltimore,1.9
23,Pittsburgh,1.8
24,Atlanta,1.8
25,Washington,1.7
25,Houston,1.7
27,Detroit,1.6
27,Chicago,1.6
27,Carolina,1.6
30,NY Jets,1.6
31,Jacksonville,1.3
32,NY Giants,1.0
