Rank,Team,2021 interceptions-thrown-per-game
1,Green Bay,0.4
2,Seattle,0.4
2,Minnesota,0.4
4,Indianapolis,0.5
5,Denver,0.5
6,Pittsburgh,0.6
7,Dallas,0.7
7,Philadelphia,0.7
9,Tampa Bay,0.7
10,Arizona,0.7
11,Cincinnati,0.8
12,New Orleans,0.8
13,Kansas City,0.8
14,Detroit,0.8
14,Miami,0.8
14,Cleveland,0.8
17,Las Vegas,0.8
17,New England,0.8
19,Buffalo,0.8
20,San Francisco,0.9
21,Atlanta,0.9
21,Washington,0.9
21,Houston,0.9
21,LA Chargers,0.9
25,Tennessee,0.9
26,Jacksonville,1.0
26,LA Rams,1.0
28,Baltimore,1.1
29,Chicago,1.2
29,NY Jets,1.2
29,NY Giants,1.2
32,Carolina,1.2
