Rank,Team,2021 opponent-rushing-yards-per-game
1,Tennessee,83.5
2,Baltimore,84.5
3,Tampa Bay,91.6
4,New Orleans,93.5
5,LA Rams,95.0
6,San Francisco,98.7
7,Cincinnati,103.2
8,Washington,104.4
9,Philadelphia,107.8
10,Green Bay,108.9
11,Indianapolis,109.1
12,Cleveland,109.2
13,Miami,109.8
14,Denver,111.3
15,Buffalo,112.5
16,Las Vegas,112.6
17,Seattle,113.6
18,Carolina,113.8
19,Kansas City,114.0
20,Dallas,115.9
21,Arizona,116.2
22,Chicago,125.1
22,Jacksonville,125.1
24,New England,126.5
25,NY Giants,129.0
26,Minnesota,130.7
27,Atlanta,131.9
28,Detroit,135.1
29,NY Jets,138.3
30,LA Chargers,138.9
31,Houston,142.2
32,Pittsburgh,143.8
