Rank,Team,2021 opponent-fumbles-lost-per-game
1,Tampa Bay,0.9
2,Indianapolis,0.8
3,Arizona,0.8
4,Kansas City,0.8
5,Miami,0.7
6,San Francisco,0.6
7,LA Chargers,0.6
8,Buffalo,0.6
9,Pittsburgh,0.6
10,Las Vegas,0.5
11,Atlanta,0.5
11,Washington,0.5
11,Detroit,0.5
11,Chicago,0.5
11,Houston,0.5
11,Minnesota,0.5
17,Dallas,0.4
17,Green Bay,0.4
19,Cincinnati,0.4
20,New Orleans,0.4
20,NY Jets,0.4
20,Carolina,0.4
20,NY Giants,0.4
20,Seattle,0.4
25,New England,0.4
26,Cleveland,0.4
26,Denver,0.4
26,Baltimore,0.4
29,Tennessee,0.3
29,LA Rams,0.3
31,Philadelphia,0.2
32,Jacksonville,0.1
