Rank,Team,2021 3rd-quarter-points-per-game
1,Arizona,7.6
2,Tampa Bay,7.3
3,Minnesota,6.6
4,Indianapolis,6.4
5,Cincinnati,6.3
6,Buffalo,6.3
7,San Francisco,6.3
8,Philadelphia,6.2
9,LA Rams,6.2
10,Green Bay,6.2
11,Dallas,5.7
12,Kansas City,5.7
13,Las Vegas,5.2
14,New England,4.7
15,Detroit,4.6
16,Seattle,4.6
17,Baltimore,4.2
18,Tennessee,4.2
19,Cleveland,4.0
20,Washington,3.8
21,Denver,3.8
22,NY Jets,3.5
23,Atlanta,3.4
24,Pittsburgh,3.4
25,Chicago,3.4
26,Miami,3.2
27,LA Chargers,3.1
28,New Orleans,2.7
29,Jacksonville,2.6
30,NY Giants,2.5
31,Carolina,2.1
32,Houston,2.0
