Rank,Team,2021 opponent-passing-yards-pct
1,Baltimore,76.76%
2,Tennessee,74.75%
3,Tampa Bay,72.81%
4,LA Rams,71.47%
5,Washington,70.94%
6,Cincinnati,70.68%
7,New Orleans,70.63%
8,Seattle,70.02%
9,Kansas City,68.81%
10,San Francisco,68.35%
11,Indianapolis,68.22%
12,Miami,67.46%
13,Philadelphia,67.33%
14,Dallas,66.92%
15,Las Vegas,66.46%
16,Green Bay,66.14%
17,Minnesota,65.93%
18,Denver,65.87%
19,NY Jets,65.22%
20,Arizona,64.97%
21,Cleveland,64.94%
22,Jacksonville,64.56%
23,Detroit,64.44%
24,Atlanta,63.80%
25,NY Giants,63.64%
26,Houston,63.00%
27,Carolina,62.80%
28,LA Chargers,61.43%
29,Buffalo,61.10%
30,Pittsburgh,60.87%
31,New England,60.51%
32,Chicago,60.49%
