Rank,Team,2021 opponent-rushing-yards-pct
1,Chicago,39.51%
2,New England,39.49%
3,Pittsburgh,39.13%
4,Buffalo,38.90%
5,LA Chargers,38.57%
6,Carolina,37.20%
7,Houston,37.00%
8,NY Giants,36.36%
9,Atlanta,36.20%
10,Detroit,35.56%
11,Jacksonville,35.44%
12,Cleveland,35.06%
13,Arizona,35.03%
14,NY Jets,34.78%
15,Denver,34.13%
16,Minnesota,34.07%
17,Green Bay,33.86%
18,Las Vegas,33.54%
19,Dallas,33.09%
20,Philadelphia,32.67%
21,Miami,32.54%
22,Indianapolis,31.78%
23,San Francisco,31.65%
24,Kansas City,31.19%
25,Seattle,29.98%
26,New Orleans,29.37%
27,Cincinnati,29.32%
28,Washington,29.06%
29,LA Rams,28.53%
30,Tampa Bay,27.19%
31,Tennessee,25.25%
32,Baltimore,23.24%
