Rank,Team,2021 passing-yards-pct
1,Tampa Bay,75.96%
2,LA Rams,74.37%
3,Las Vegas,73.82%
4,LA Chargers,72.35%
5,Cincinnati,72.06%
6,Atlanta,71.90%
7,Pittsburgh,70.83%
8,Kansas City,70.78%
9,Miami,69.96%
10,Houston,69.92%
11,Green Bay,69.64%
12,Dallas,69.61%
13,Minnesota,68.71%
14,NY Jets,67.99%
15,Arizona,67.30%
16,Buffalo,66.31%
17,Jacksonville,66.19%
18,Detroit,65.61%
19,San Francisco,65.51%
20,NY Giants,65.44%
21,New England,64.52%
22,Denver,63.96%
23,Carolina,63.75%
24,Washington,62.54%
25,Seattle,62.33%
26,New Orleans,61.54%
27,Baltimore,61.51%
28,Chicago,61.38%
29,Tennessee,58.80%
30,Cleveland,57.33%
31,Indianapolis,56.96%
32,Philadelphia,56.49%
