Rank,Team,2021 2nd-half-time-of-possession-share-pct
1,Arizona,54.30%
2,Indianapolis,54.23%
3,Tennessee,53.82%
4,Cincinnati,53.76%
5,Green Bay,53.15%
6,Kansas City,52.92%
7,Baltimore,52.69%
8,San Francisco,52.67%
9,New England,52.66%
10,Denver,52.63%
11,Washington,52.01%
12,Buffalo,51.93%
13,Las Vegas,51.57%
14,Tampa Bay,51.50%
15,Cleveland,51.00%
16,Philadelphia,50.38%
17,New Orleans,49.85%
18,Chicago,49.46%
19,Miami,49.09%
20,Pittsburgh,48.97%
21,NY Giants,48.96%
22,Carolina,48.77%
23,Minnesota,48.36%
24,LA Chargers,48.29%
25,Detroit,47.72%
26,NY Jets,46.60%
27,LA Rams,46.33%
28,Dallas,45.80%
29,Jacksonville,45.15%
30,Atlanta,44.99%
31,Houston,44.86%
32,Seattle,43.18%
