Rank,Team,2021 opponent-punts-per-offensive-score
1,Buffalo,1.3
2,New Orleans,1.2
3,Baltimore,1.2
4,San Francisco,1.1
5,Cincinnati,1.1
6,Tampa Bay,1.1
7,Miami,1.1
8,Cleveland,1.0
9,Dallas,1.0
10,Denver,1.0
10,Seattle,1.0
12,Pittsburgh,1.0
13,LA Rams,1.0
14,Carolina,1.0
15,Tennessee,1.0
16,Philadelphia,1.0
17,Indianapolis,1.0
18,Green Bay,0.9
19,Arizona,0.9
20,New England,0.9
21,Chicago,0.9
22,NY Giants,0.8
23,Kansas City,0.8
24,Las Vegas,0.8
25,Washington,0.8
26,Minnesota,0.8
27,Jacksonville,0.8
28,Houston,0.7
29,Atlanta,0.7
30,NY Jets,0.6
31,LA Chargers,0.5
32,Detroit,0.5
