Rank,Team,2021 opponent-safeties-per-game
1,Arizona,0.1
2,Miami,0.1
2,Carolina,0.1
2,NY Giants,0.1
5,Philadelphia,0.1
6,Buffalo,0.1
7,San Francisco,0.1
8,Dallas,0.0
8,Atlanta,0.0
8,Washington,0.0
8,Pittsburgh,0.0
8,New Orleans,0.0
8,Las Vegas,0.0
8,Detroit,0.0
8,Chicago,0.0
8,Jacksonville,0.0
8,NY Jets,0.0
8,Tennessee,0.0
8,Cleveland,0.0
8,Houston,0.0
8,Tampa Bay,0.0
8,New England,0.0
8,Kansas City,0.0
8,Denver,0.0
8,LA Chargers,0.0
8,LA Rams,0.0
8,Green Bay,0.0
8,Cincinnati,0.0
8,Baltimore,0.0
8,Seattle,0.0
8,Minnesota,0.0
8,Indianapolis,0.0
