Rank,Team,2021 rushing-yards-pct
1,Philadelphia,43.51%
2,Indianapolis,43.04%
3,Cleveland,42.67%
4,Tennessee,41.20%
5,Chicago,38.62%
6,Baltimore,38.49%
7,New Orleans,38.46%
8,Seattle,37.67%
9,Washington,37.46%
10,Carolina,36.25%
11,Denver,36.04%
12,New England,35.48%
13,NY Giants,34.56%
14,San Francisco,34.49%
15,Detroit,34.39%
16,Jacksonville,33.81%
17,Buffalo,33.69%
18,Arizona,32.70%
19,NY Jets,32.01%
20,Minnesota,31.29%
21,Dallas,30.39%
22,Green Bay,30.36%
23,Houston,30.08%
24,Miami,30.04%
25,Kansas City,29.22%
26,Pittsburgh,29.17%
27,Atlanta,28.10%
28,Cincinnati,27.94%
29,LA Chargers,27.65%
30,Las Vegas,26.18%
31,LA Rams,25.63%
32,Tampa Bay,24.04%
